No authors that the critics have recommended in their reviews have ever received acknowledgment for a best-selling novel,11,0
No soldiers that the diplomats have supported in the trial have ever shown respect to the war victims,11,0
No ambassadors that the diplomats have consulted about the treaty have ever seen brutality in the foreign war,11,0
No professors that the students have challenged over low grades have ever wanted negativity in a class debate,11,0
No customers that the salesmen have assisted in the outlet have ever expressed optimism for a full refund,11,0
No diplomats that the politicians have informed of recent policies have ever caused controversy in the liberal newspapers,11,0
No maids that the housewives have thanked for their work have ever caused damage to the delicate clothing,11,0
No lawyers that the businessmen have hired for legal advice have ever received criticism for lost fraud trials,11,0
No students that the teachers have punished for bad behavior have ever expected friendliness from the strict principal,11,0
No babysitters that the children have disobeyed during an outing have ever expected gratitude from the disappointed parents,11,0
No actors that the producers have solicited for their films have ever experienced injuries from a dangerous stunt,11,0
No teachers that the parents have commended in PTA meetings have ever caused problems with the school administrators,11,0
No students that the librarians have helped with book reports have ever made progress on the difficult assignment,11,0
No nurses that the doctors have requested for the surgery have ever shown clumsiness in the operating room,11,0
No criminals that the policemen have caught in drug raids have ever felt satisfaction from a petty crime,11,0
No employees that the managers have recommended for a raise have ever expressed frustration with the rude customers,11,0
No accountants that the managers have blamed for company losses have ever seen rises in the quarterly profits,11,0
No candidates that the voters have supported during the election have ever shown friendliness to the rude journalists,11,0
No surgeons that the patients have consulted about the operation have ever expressed dissatisfaction with the hospital staff,11,0
No suspects that the witnesses have identified in photo line-ups have ever shown nervousness in the court room,11,0
No actresses that the moviegoers have praised for their performance have ever caused excitement at a film festival,11,0
No senators that the billionaires have supported with campaign donations have ever received hostility from online news media,11,0
No politicians that the journalists have endorsed in the media have ever earned trust from the rural communities,11,0
No teenagers that the parents have trusted with a car have ever expressed impatience with their rambunctious siblings,11,0
No survivors that the medics have cured of their injuries have ever felt regret for their military service,11,0
No players that the coaches have drafted for the team have ever felt nervousness before a championship game,11,0
No voters that the senators have courted at campaign rallies have ever caused controversy in a major election,11,0
No professors that the students have visited during office hours have ever experienced tiredness after a long lecture,11,0
No actors that the judges have nominated for an award have ever experienced derision from the tabloid gossip,11,0
No actresses that the directors have auditioned for the role have ever shown nervousness on a large stage,11,0
No champions that the competitors have defeated in important races have ever shown humility after a big win,11,0
No painters that the collectors have favored at prestigious exhibitions have ever depicted tranquility with very bright colors,11,0
No editors that the journalists have insulted in stressful meetings have ever had patience for a missed deadline,11,0
No teenagers that the teachers have scolded for their chattiness have ever experienced loneliness in the large class,11,0
No students that the professors have tutored on the weekends have ever had trouble in a math class,11,0
No actors that the children have seen in family films have ever shown gore during a fight scene,11,0
