No authors that the critics recommended have ever received acknowledgment for a best-selling novel.,1,,,,,,,,,,,,,,
The authors that no critics recommended have ever received acknowledgment for a best-selling novel.,2,,,,,,,,,,,,,,
The authors that the critics did not recommend have ever received acknowledgment for a best-selling novel.,3,,,,,,,,,,,,,,
The authors that the critics recommended have ever received acknowledgment for a best-selling novel.,4,,,,,,,,,,,,,,
No soldiers that the diplomats supported have ever shown bravery in the controversial war.,1,,,,,,,,,,,,,,
The soldiers that no diplomats supported have ever shown bravery in the controversial war.,2,,,,,,,,,,,,,,
The soldiers that the diplomats did not support have ever shown bravery in the controversial war.,3,,,,,,,,,,,,,,
The soldiers that the diplomats supported have ever shown bravery in the controversial war.,4,,,,,,,,,,,,,,
No ambassadors that the diplomats consulted have ever seen brutality in the foreign war.,1,,,,,,,,,,,,,,
The ambassadors that no diplomats consulted have ever seen brutality in the foreign war.,2,,,,,,,,,,,,,,
The ambassadors that the diplomats did not consult have ever seen brutality in the foreign war.,3,,,,,,,,,,,,,,
The ambassadors that the diplomats consulted have ever seen brutality in the foreign war.,4,,,,,,,,,,,,,,
No professors that the students respected have ever wanted negativity in a class debate.,1,,,,,,,,,,,,,,
The professors that no students respected have ever wanted negativity in a class debate.,2,,,,,,,,,,,,,,
The professors that the students did not respect have ever wanted negativity in a class debate.,3,,,,,,,,,,,,,,
The professors that the students respected have ever wanted negativity in a class debate.,4,,,,,,,,,,,,,,
No customers that the salesmen assisted have ever expressed optimism for a full refund.,1,,,,,,,,,,,,,,
The customers that no salesmen assisted have ever expressed optimism for a full refund.,2,,,,,,,,,,,,,,
The customers that the salesmen did not assist have ever expressed optimism for a full refund.,3,,,,,,,,,,,,,,
The customers that the salesmen assisted have ever expressed optimism for a full refund.,4,,,,,,,,,,,,,,
No comments that the politicians ignored have ever caused bitterness toward the liberal newspapers.,1,,,,,,,,,,,,,,
The comments that no politicians ignored have ever caused bitterness toward the liberal newspapers.,2,,,,,,,,,,,,,,
The comments that the politicians did not ignore have ever caused bitterness toward the liberal newspapers.,3,,,,,,,,,,,,,,
The comments that the politicians ignored have ever caused bitterness toward the liberal newspapers.,4,,,,,,,,,,,,,,
No detergents that the housewives used have ever caused damage to the delicate clothing.,1,,,,,,,,,,,,,,
The detergents that no housewives used have ever caused damage to the delicate clothing.,2,,,,,,,,,,,,,,
The detergents that the housewives did not use have ever caused damage to the delicate clothing.,3,,,,,,,,,,,,,,
The detergents that the housewives used have ever caused damage to the delicate clothing.,4,,,,,,,,,,,,,,
No lawyers that the businessmen respected have ever received criticism for a bad trial.,1,,,,,,,,,,,,,,
The lawyers that no businessmen respected have ever received criticism for a bad trial.,2,,,,,,,,,,,,,,
The lawyers that the businessmen did not respect have ever received criticism for a bad trial.,3,,,,,,,,,,,,,,
The lawyers that the businessmen respected have ever received criticism for a bad trial.,4,,,,,,,,,,,,,,
No students that the teachers punished have ever expected friendliness from the strict principal.,1,,,,,,,,,,,,,,
The students that no teachers punished have ever expected friendliness from the strict principal.,2,,,,,,,,,,,,,,
The students that the teachers did not punish have ever expected friendliness from the strict principal.,3,,,,,,,,,,,,,,
The students that the teachers punished have ever expected friendliness from the strict principal.,4,,,,,,,,,,,,,,
 No babysitters that the children obeyed have ever expected gratitude from the disappointed parents.,1,,,,,,,,,,,,,,
 The babysitters that no children obeyed have ever expected gratitude from the disappointed parents.,2,,,,,,,,,,,,,,
 The babysitters that the children did not obey have ever expected gratitude from the disappointed parents.,3,,,,,,,,,,,,,,
 The babysitters that the children obeyed have ever expected gratitude from the disappointed parents.,4,,,,,,,,,,,,,,
 No actors that the fans recognized have ever experienced soreness after a dangerous stunt.,1,,,,,,,,,,,,,,
 The actors that no fans recognized have ever experienced soreness after a dangerous stunt.,2,,,,,,,,,,,,,,
 The actors that the fans did not recognize have ever experienced soreness after a dangerous stunt.,3,,,,,,,,,,,,,,
 The actors that the fans recognized have ever experienced soreness after a dangerous stunt.,4,,,,,,,,,,,,,,
 No teachers that the parents recommended have ever caused problems for the new students.,1,,,,,,,,,,,,,,
 The teachers that no parents recommended have ever caused problems for the new students.,2,,,,,,,,,,,,,,
 The teachers that the parents did not recommend have ever caused problems for the new students.,3,,,,,,,,,,,,,,
 The teachers that the parents recommended have ever caused problems for the new students.,4,,,,,,,,,,,,,,
 No students that the librarians helped have ever made progress on the difficult assignment.,1,,,,,,,,,,,,,,
 The students that no librarians helped have ever made progress on the difficult assignment.,2,,,,,,,,,,,,,,
 The students that the librarians did not help have ever made progress on the difficult assignment.,3,,,,,,,,,,,,,,
 The students that the librarians helped have ever made progress on the difficult assignment.,4,,,,,,,,,,,,,,
 No nurses that the doctors appreciated have ever shown patience in the operating room.,1,,,,,,,,,,,,,,
 The nurses that no doctors appreciated have ever shown patience in the operating room.,2,,,,,,,,,,,,,,
 The nurses that the doctors did not appreciate have ever shown patience in the operating room.,3,,,,,,,,,,,,,,
 The nurses that the doctors appreciated have ever shown patience in the operating room.,4,,,,,,,,,,,,,,
 No criminals that the policemen caught have ever felt satisfaction from a petty crime.,1,,,,,,,,,,,,,,
 The criminals that no policemen caught have ever felt satisfaction from a petty crime.,2,,,,,,,,,,,,,,
 The criminals that the policemen did not catch have ever felt satisfaction from a petty crime.,3,,,,,,,,,,,,,,
 The criminals that the policemen caught have ever felt satisfaction from a petty crime.,4,,,,,,,,,,,,,,
 No employees that the managers recommended have ever wanted kindness from the rude customers.,1,,,,,,,,,,,,,,
 The employees that no managers recommended have ever wanted kindness from the rude customers.,2,,,,,,,,,,,,,,
 The employees that the managers did not recommend have ever wanted kindness from the rude customers.,3,,,,,,,,,,,,,,
 The employees that the managers recommended have ever wanted kindness from the rude customers.,4,,,,,,,,,,,,,,
 No accountants that the managers trusted have ever seen rises in the quarterly profits.,1,,,,,,,,,,,,,,
 The accountants that no managers trusted have ever seen rises in the quarterly profits.,2,,,,,,,,,,,,,,
 The accountants that the managers did not trust have ever seen rises in the quarterly profits.,3,,,,,,,,,,,,,,
 The accountants that the managers trusted have ever seen rises in the quarterly profits.,4,,,,,,,,,,,,,,
 No candidates that the voters supported have ever shown friendliness to the rude journalists.,1,,,,,,,,,,,,,,
 The candidates that no voters supported have ever shown friendliness to the rude journalists.,2,,,,,,,,,,,,,,
 The candidates that the voters did not support have ever shown friendliness to the rude journalists.,3,,,,,,,,,,,,,,
 The candidates that the voters supported have ever shown friendliness to the rude journalists.,4,,,,,,,,,,,,,,
 No surgeons that the patients trusted have ever seen appreciation from the hospital staff.,1,,,,,,,,,,,,,,
 The surgeons that no patients trusted have ever seen appreciation from the hospital staff.,2,,,,,,,,,,,,,,
 The surgeons that the patients did not trust have ever seen appreciation from the hospital staff.,3,,,,,,,,,,,,,,
 The surgeons that the patients trusted have ever seen appreciation from the hospital staff.,4,,,,,,,,,,,,,,
 No suspects that the witnesses identified have ever shown nervousness in the court room.,1,,,,,,,,,,,,,,
 The suspects that no witnesses identified have ever shown nervousness in the court room.,2,,,,,,,,,,,,,,
 The suspects that the witnesses did not identify have ever shown nervousness in the court room.,3,,,,,,,,,,,,,,
 The suspects that the witnesses identified have ever shown nervousness in the court room.,4,,,,,,,,,,,,,,
 No actresses that the housewives admired have ever caused excitement at a film festival.,1,,,,,,,,,,,,,,
 The actresses that no housewives admired have ever caused excitement at a film festival.,2,,,,,,,,,,,,,,
