The authors that the critics recommended have not ever received acknowledgment for a best-selling novel.,8,7,,,,
The soldiers that the diplomats supported have not ever shown bravery in the controversial war.,8,7,,,,
The ambassadors that the diplomats consulted have not ever seen brutality in the foreign war.,8,7,,,,
The professors that the students respected have not ever wanted negativity in a class debate.,8,7,,,,
The customers that the salesmen assisted have not ever expressed optimism for a full refund.,8,7,,,,
The comments that the politicians ignored have not ever caused bitterness toward the liberal newspapers.,8,7,,,,
The detergents that the housewives used have not ever caused damage to the delicate clothing.,8,7,,,,
The lawyers that the businessmen respected have not ever received criticism for a bad trial.,8,7,,,,
The students that the teachers punished have not ever expected friendliness from the strict principal.,8,7,,,,
 The babysitters that the children obeyed have not ever expected gratitude from the disappointed parents.,8,7,,,,
 The actors that the fans recognized have not ever experienced soreness after a dangerous stunt.,8,7,,,,
 The teachers that the parents recommended have not ever caused problems for the new students.,8,7,,,,
 The students that the librarians helped have not ever made progress on the difficult assignment.,8,7,,,,
 The nurses that the doctors appreciated have not ever shown patience in the operating room.,8,7,,,,
 The criminals that the policemen caught have not ever felt satisfaction from a petty crime.,8,7,,,,
 The employees that the managers recommended have not ever wanted kindness from the rude customers.,8,7,,,,
 The accountants that the managers trusted have not ever seen rises in the quarterly profits.,8,7,,,,
 The candidates that the voters supported have not ever shown friendliness to the rude journalists.,8,7,,,,
 The surgeons that the patients trusted have not ever seen appreciation from the hospital staff.,8,7,,,,
 The suspects that the witnesses identified have not ever shown nervousness in the court room.,8,7,,,,
 The actresses that the housewives admired have not ever caused excitement at a film festival.,8,7,,,,
 The ambassadors that the government consulted have not ever received hostility from the liberal media.,8,7,,,,
 The politicians that the journalists endorsed have not ever earned trust from the rural communities.,8,7,,,,
 The teenagers that the parents trusted have not ever expressed kindness to a younger sibling.,8,7,,,,
 The survivors that the medics treated have not ever felt courage during the extreme emergency.,8,7,,,,
 The players that the coaches drafted have not ever felt nervousness before a championship game.,8,7,,,,
 The dictators that the citizens trusted have not ever caused chaos at a public event.,8,7,,,,
 The professors that the students understood have not ever experienced tiredness after a long lecture.,8,7,,,,
 The actors that the judges nominated have not ever had luck at the award ceremonies.,8,7,,,,
 The actresses that the directors auditioned have not ever shown elegance on a large stage.,8,7,,,,
 The champions that the competitors defeated have not ever shown humility after a big game.,8,7,,,,
 The paintings that the collectors liked have not ever depicted tranquility with very bright colors.,8,7,,,,
 The editors that the journalists respected have not ever had patience for a missed deadline.,8,7,,,,
 The teenagers that the teachers motivated have not ever experienced loneliness in the large class.,8,7,,,,
 The students that the professors tutored have not ever had trouble in a math class.,8,7,,,,
 The movies that the children watched have not ever depicted gore during a fight scene.,8,7,,,,
